지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4136000000,남양주,74,5,0,13,45,-1,0,0,얼갈이배추,PA260101,-,,0,2019-12-16 00:00:00
4150000000,이천,82,4,0,12,51,-2,0,7,얼갈이배추,PA260101,-,,0,2019-12-16 00:00:00
4165000000,포천,71,4,0,13,43,-3,0,0,얼갈이배추,PA260101,-,,0,2019-12-16 00:00:00
4146100000,용인,75,5,0,13,44,-1,0,0,얼갈이배추,PA260101,-,,0,2019-12-16 00:00:00
4150000000,이천,95,6,0,9,82,4,3,0,얼갈이배추,PA260101,-,,0,2019-12-17 00:00:00
4136000000,남양주,85,7,1,10,65,3,9,0,얼갈이배추,PA260101,-,,0,2019-12-17 00:00:00
4165000000,포천,76,7,1,9,61,3,8,0,얼갈이배추,PA260101,-,,0,2019-12-17 00:00:00
4146100000,용인,86,7,1,9,74,4,6,0,얼갈이배추,PA260101,-,,0,2019-12-17 00:00:00
4136000000,남양주,71,1,1,5,55,0,0,0,얼갈이배추,PA260101,-,,0,2019-12-18 00:00:00
4150000000,이천,80,1,1,5,64,0,0,2,얼갈이배추,PA260101,-,,0,2019-12-18 00:00:00
4165000000,포천,71,0,0,4,53,-2,0,0,얼갈이배추,PA260101,-,,0,2019-12-18 00:00:00
4146100000,용인,72,2,1,5,53,-1,0,0,얼갈이배추,PA260101,-,,0,2019-12-18 00:00:00
4165000000,포천,56,-2,0,3,22,-6,0,0,얼갈이배추,PA260101,-,,0,2019-12-19 00:00:00
4150000000,이천,55,0,1,5,26,-2,0,8,얼갈이배추,PA260101,-,,0,2019-12-19 00:00:00
4146100000,용인,58,0,1,4,20,-4,0,0,얼갈이배추,PA260101,-,,0,2019-12-19 00:00:00
4136000000,남양주,55,0,1,4,26,-3,0,0,얼갈이배추,PA260101,-,,0,2019-12-19 00:00:00
4146100000,용인,57,-1,1,3,18,-5,0,0,얼갈이배추,PA260101,-,,0,2019-12-20 00:00:00
4165000000,포천,53,-2,1,2,18,-7,0,0,얼갈이배추,PA260101,-,,0,2019-12-20 00:00:00
4136000000,남양주,57,-1,1,3,21,-4,0,0,얼갈이배추,PA260101,-,,0,2019-12-20 00:00:00
4150000000,이천,59,0,1,4,20,-4,0,8,얼갈이배추,PA260101,-,,0,2019-12-20 00:00:00
4165000000,포천,71,-2,0,1,40,-8,0,0,얼갈이배추,PA260101,-,,0,2019-12-21 00:00:00
4150000000,이천,82,-2,0,1,60,-7,0,1,얼갈이배추,PA260101,-,,0,2019-12-21 00:00:00
4146100000,용인,73,-2,0,2,49,-7,0,0,얼갈이배추,PA260101,-,,0,2019-12-21 00:00:00
4136000000,남양주,75,-1,1,2,47,-7,0,0,얼갈이배추,PA260101,-,,0,2019-12-21 00:00:00
4146100000,용인,77,1,0,7,52,-1,0,0,얼갈이배추,PA260101,-,,0,2019-12-22 00:00:00
4150000000,이천,82,1,0,7,56,-2,0,3,얼갈이배추,PA260101,-,,0,2019-12-22 00:00:00
4165000000,포천,69,2,0,8,35,-3,0,0,얼갈이배추,PA260101,-,,0,2019-12-22 00:00:00
4136000000,남양주,77,2,0,8,48,-2,0,0,얼갈이배추,PA260101,-,,0,2019-12-22 00:00:00
4150000000,이천,90,2,0,6,62,-1,1,0,얼갈이배추,PA260101,-,,0,2019-12-23 00:00:00
4136000000,남양주,82,3,1,7,58,0,3,0,얼갈이배추,PA260101,-,,0,2019-12-23 00:00:00
4146100000,용인,85,2,0,6,62,-1,4,0,얼갈이배추,PA260101,-,,0,2019-12-23 00:00:00
4165000000,포천,76,1,1,6,50,-3,2,0,얼갈이배추,PA260101,-,,0,2019-12-23 00:00:00
4136000000,남양주,80,0,0,5,47,-3,0,0,얼갈이배추,PA260101,-,,0,2019-12-24 00:00:00
4165000000,포천,72,-2,0,5,21,-5,0,0,얼갈이배추,PA260101,-,,0,2019-12-24 00:00:00
4146100000,용인,86,0,0,5,57,-3,0,0,얼갈이배추,PA260101,-,,0,2019-12-24 00:00:00
4150000000,이천,100,-2,0,0,94,-4,0,0,얼갈이배추,PA260101,-,,0,2019-12-24 00:00:00
4165000000,포천,66,0,0,7,18,-6,0,0,얼갈이배추,PA260101,-,,0,2019-12-25 00:00:00
4146100000,용인,76,0,0,6,30,-4,0,0,얼갈이배추,PA260101,-,,0,2019-12-25 00:00:00
4150000000,이천,92,0,0,4,61,-4,0,1,얼갈이배추,PA260101,-,,0,2019-12-25 00:00:00
4136000000,남양주,71,0,0,6,31,-4,0,0,얼갈이배추,PA260101,-,,0,2019-12-25 00:00:00
4165000000,포천,56,1,1,4,38,-2,0,0,얼갈이배추,PA260101,-,,0,2019-12-26 00:00:00
4136000000,남양주,65,2,1,5,42,-2,0,0,얼갈이배추,PA260101,-,,0,2019-12-26 00:00:00
4146100000,용인,76,1,0,3,55,0,1,0,얼갈이배추,PA260101,-,,0,2019-12-26 00:00:00
4150000000,이천,87,0,0,3,53,0,2,0,얼갈이배추,PA260101,-,,0,2019-12-26 00:00:00
4150000000,이천,61,-1,1,4,26,-5,0,8,얼갈이배추,PA260101,-,,0,2019-12-27 00:00:00
4165000000,포천,57,-3,1,3,20,-8,0,0,얼갈이배추,PA260101,-,,0,2019-12-27 00:00:00
4146100000,용인,57,-1,1,3,23,-5,0,0,얼갈이배추,PA260101,-,,0,2019-12-27 00:00:00
